Food list;Amount;Unit;Calories;Fats;Carbs;Prots;;;;;
Tuffles;5.0;pc;55.0;3.2;5.7;0.5
String Cheese;100;g;295.0;19.8;5.6;23.8
Beef shank lean cooked;100;g;160.0;4.5;0.0;29.9
Ground beef;100;g;270.0;17.8;0.0;25.8
Tycinky;100;g;463.3;19.0;60.0;11.0
Burgers Lidl;2.0;pc;105.0;1.4;3.5;19.0
Pancake with apple and cinnamon filling by Lidl;4.0;pc;118.0;1.7;22.2;3.0
Excellence orange Lindt;100;g;533.3;33.3;56.7;6.7
Sugar;2.0;pc;10.8;0.0;2.8;0.0
Schnitzel;100;g;222.4;10.3;15.8;15.8
Confetteria raffaello by Ferrero;100;g;627.0;48.3;38.6;7.4
Lindt;5.0;pc;80.0;6.0;5.0;1.0
Milka;100;g;556.0;34.8;54.0;5.6
Spaghetti Barilla;100;g;357.1;1.8;75.0;12.5
Cream cheese;100;g;350.0;34.4;5.5;6.2
Sushi;2.0;pc;40.0;1.8;4.0;2.0
